
===== TABLA DE TOKENS =====
| Clase | Posición  |
|------------------|
| 0     | 7          |
| 0     | 4          |
| 2     | 0          |
| 1     | 7          |
| 2     | 1          |
| 1     | 6          |
| 0     | 7          |
| 0     | 6          |
| 2     | 2          |
| 1     | 7          |
| 2     | 3          |
| 1     | 6          |
| 0     | 7          |
| 0     | 1          |
| 2     | 4          |
| 1     | 7          |
| 2     | 5          |
| 1     | 6          |
| 0     | 7          |
| 0     | 0          |
| 2     | 6          |
| 1     | 7          |
| 2     | 7          |
| 1     | 6          |
| 0     | 4          |
| 2     | 8          |
| 1     | 0          |
| 1     | 1          |
| 1     | 2          |
| 2     | 0          |
| 5     | 0          |
| 7     | 0          |
| 1     | 6          |
| 0     | 13         |
| 1     | 0          |
| 2     | 0          |
| 4     | 0          |
| 7     | 1          |
| 1     | 1          |
| 1     | 2          |
| 0     | 8          |
| 1     | 2          |
| 2     | 1          |
| 5     | 1          |
| 7     | 2          |
| 1     | 6          |
| 1     | 3          |
| 0     | 9          |
| 1     | 0          |
| 2     | 1          |
| 4     | 1          |
| 8     | 0          |
| 1     | 1          |
| 1     | 2          |
| 2     | 1          |
| 5     | 3          |
| 8     | 1          |
| 1     | 6          |
| 1     | 3          |
| 1     | 3          |
| 0     | 11         |
| 1     | 0          |
| 2     | 1          |
| 3     | 7          |
| 7     | 3          |
| 1     | 1          |
| 1     | 2          |
| 0     | 15         |
| 1     | 6          |
| 1     | 3          |
| 0     | 3          |
| 2     | 1          |
| 1     | 6          |
| 1     | 3          |
==========================
